Row Image Number,Position X (mm),Position Y (mm)
row1_Image1,17.8,267
row1_Image2,64,267
row1_Image3,108.5,267
row1_Image4,152,267
row1_Image5,193.5,267
row2_Image1,17.8,219.8
row2_Image2,64,219.8
row2_Image3,108.5,219.8
row2_Image4,152,219.8
row2_Image5,193.5,219.8
row3_Image1,17.8,180.7
row3_Image2,64,180.7
row3_Image3,108.5,180.7
row3_Image4,152,180.7
row3_Image5,193.5,180.7
row4_Image1,17.8,134
row4_Image2,64,134
row4_Image3,108.5,134
row4_Image4,152,134
row4_Image5,193.5,134
row5_Image1,17.8,77.5
row5_Image2,64,77.5
row5_Image3,108.5,77.5
row5_Image4,152,77.5
row5_Image5,193.5,77.5
row6_Image1,17.8,30.5
row6_Image2,64,30.5
row6_Image3,108.5,30.5
row6_Image4,152,30.5
row6_Image5,193.5,30.5
