ASIN,Order Number X (mm),Order Number Y (mm),Image Width,Text Width,Row Number,Left Preview Image X,Left Preview Image Y,Right Preview Image X,Right Preview Image Y,Left Snap Image X,Left Snap Image Y,Right Snap Image X,Right Snap Image Y,Left Text X,Left Text Y,Right Text X,Right Text Y
B08S7T7XK2,-96.548,279.736,80,75,1,285,243,405,243,45,243,165,243,45,243,165,243
B08S7T7XK2,-96.548,184.741,80,75,2,285,148,405,148,45,148,165,148,45,148,165,148
B08S7T7XK2,-96.548,89.741,80,75,3,285,54,405,54,45,54,165,54,45,54,165,54
B0C6R4YR62,-96.548,279.736,80,75,1,285,243,405,243,45,243,165,243,45,243,165,243
B0C6R4YR62,-96.548,184.741,80,75,2,285,148,405,148,45,148,165,148,45,148,165,148
B0C6R4YR62,-96.548,89.741,80,75,3,285,54,405,54,45,54,165,54,45,54,165,54
B08S7T7XK2,-96.548,279.736,80,75,1,285,243,405,243,45,243,165,243,45,243,165,243
B08S7T7XK2,-96.548,184.741,80,75,2,285,148,405,148,45,148,165,148,45,148,165,148
B08S7T7XK2,-96.548,89.741,80,75,3,285,54,405,54,45,54,165,54,45,54,165,54
B0GSL8KLRZ,-96.548,279.736,85,75,1,285,243,405,243,45,243,165,243,45,243,165,243
B0GSL8KLRZ,-96.548,184.741,85,75,2,285,148,405,148,45,148,165,148,45,148,165,148
B0GSL8KLRZ,-96.548,89.741,85,75,3,285,54,405,54,45,54,165,54,45,54,165,54
