ASIN,Row Number,Order Number X (mm),Order Number Y (mm),Image X,Image Y,Preview Image X,Preview Image Y,Main Image Height,Preview Image Width,Text Width,Model,Model Text X,Model Text Y
B08NCH435D,1,-96.548,279.736,150,249,275,249,134,80,50,12 Mini,20,249
B08NCH435D,2,-96.548,184.741,150,152,275,152,134,80,50,12 Mini,20,152
B08NCH435D,3,-96.548,89.741,150,49,275,49,134,80,50,12 Mini,20,49
B09H3J9GQ3,1,-96.548,279.736,150,249,275,249,134,80,50,13 Mini,20,249
B09H3J9GQ3,2,-96.548,184.741,150,152,275,152,134,80,50,13 Mini,20,152
B09H3J9GQ3,3,-96.548,89.741,150,49,275,49,134,80,50,13 Mini,20,49
B08HSQT9P8,1,-96.548,279.736,150,249,275,249,134,80,50,i6,20,249
B08HSQT9P8,2,-96.548,184.741,150,152,275,152,134,80,50,i6,20,152
B08HSQT9P8,3,-96.548,89.741,150,49,275,49,134,80,50,i6,20,49
B08HSMY1FY,1,-96.548,279.736,150,249,275,249,134,80,50,i7,20,249
B08HSMY1FY,2,-96.548,184.741,150,152,275,152,134,80,50,i7,20,152
B08HSMY1FY,3,-96.548,89.741,150,49,275,49,134,80,50,i7,20,49
B08779G657,1,-96.548,279.736,150,249,275,249,150,80,55,11,20,249
B08779G657,2,-96.548,184.741,150,152,275,152,150,80,55,11,20,152
B08779G657,3,-96.548,89.741,150,49,275,49,150,80,55,11,20,49
B0877CCK4V,1,-96.548,279.736,150,249,275,249,140,80,50,11 Pro ,20,249
B0877CCK4V,2,-96.548,184.741,150,152,275,152,140,80,50,11 Pro ,20,152
B0877CCK4V,3,-96.548,89.741,150,49,275,49,140,80,50,11 Pro ,20,49
B087798P2M,1,-96.548,279.736,150,249,275,249,155,80,55,11 Pro Max,20,249
B087798P2M,2,-96.548,184.741,150,152,275,152,155,80,55,11 Pro Max,20,152
B087798P2M,3,-96.548,89.741,150,49,275,49,155,80,55,11 Pro Max,20,49
B08NCPMRWB,1,-96.548,279.736,150,249,275,249,162,80,55,12 Pro Max,20,249
B08NCPMRWB,2,-96.548,184.741,150,152,275,152,162,80,55,12 Pro Max,20,152
B08NCPMRWB,3,-96.548,89.741,150,49,275,49,162,80,55,12 Pro Max,20,49
B08NCBS7TL,1,-96.548,279.736,150,249,275,249,145,80,55,12,20,249
B08NCBS7TL,2,-96.548,184.741,150,152,275,152,145,80,55,12,20,152
B08NCBS7TL,3,-96.548,89.741,150,49,275,49,145,80,55,12,20,49
B09H3HFZJ4,1,-96.548,279.736,150,249,275,249,150,80,55,13,20,249
B09H3HFZJ4,2,-96.548,184.741,150,152,275,152,150,80,55,13,20,152
B09H3HFZJ4,3,-96.548,89.741,150,49,275,49,150,80,55,13,20,49
B09H3JHJMM,1,-96.548,279.736,150,249,275,249,150,80,55,13 Pro,20,249
B09H3JHJMM,2,-96.548,184.741,150,152,275,152,150,80,55,13 Pro,20,152
B09H3JHJMM,3,-96.548,89.741,150,49,275,49,150,80,55,13 Pro,20,49
B09H3KK56V,1,-96.548,279.736,150,249,275,249,162,80,55,13 Pro Max,20,249
B09H3KK56V,2,-96.548,184.741,150,152,275,152,162,80,55,13 Pro Max,20,152
B09H3KK56V,3,-96.548,89.741,150,49,275,49,162,80,55,13 Pro Max,20,49
B0BHTV8CVP,1,-96.548,279.736,150,249,275,249,150,80,55,14,20,249
B0BHTV8CVP,2,-96.548,184.741,150,152,275,152,150,80,55,14,20,152
B0BHTV8CVP,3,-96.548,89.741,150,49,275,49,150,80,55,14,20,49
B0BHTRJ5B1,1,-96.548,279.736,150,249,275,249,150,80,55,14 Pro,20,249
B0BHTRJ5B1,2,-96.548,184.741,150,152,275,152,150,80,55,14 Pro,20,152
B0BHTRJ5B1,3,-96.548,89.741,150,49,275,49,150,80,55,14 Pro,20,49
B0BHTRYR34,1,-96.548,279.736,150,249,275,249,162,80,55,14+,20,249
B0BHTRYR34,2,-96.548,184.741,150,152,275,152,162,80,55,14+,20,152
B0BHTRYR34,3,-96.548,89.741,150,49,275,49,162,80,55,14+,20,49
B0BHTQZ26H,1,-96.548,279.736,150,249,275,249,162,80,55,14 Pro Max,20,249
B0BHTQZ26H,2,-96.548,184.741,150,152,275,152,162,80,55,14 Pro Max,20,152
B0BHTQZ26H,3,-96.548,89.741,150,49,275,49,162,80,55,14 Pro Max,20,49
B0CHZ2F19T,1,-96.548,279.736,150,249,275,249,150,80,55,15,20,249
B0CHZ2F19T,2,-96.548,184.741,150,152,275,152,150,80,55,15,20,152
B0CHZ2F19T,3,-96.548,89.741,150,49,275,49,150,80,55,15,20,49
B0CHZ2P8YX,1,-96.548,279.736,150,249,275,249,150,80,55,15 Pro,20,249
B0CHZ2P8YX,2,-96.548,184.741,150,152,275,152,150,80,55,15 Pro,20,152
