ASIN,Row Number,Order Number X (mm),Order Number Y (mm),Image X,Image Y,Preview Image X,Preview Image Y,Main Image Height,Preview Image Width,Text Width,Model,Model Text X,Model Text Y
54188260197968,1,-96.548,279.736,162.5,243,285,243.5,162,80,55,16+,15,243
54188260197968,2,-96.548,184.741,162.5,148,285,148.5,162,80,55,16+,15,148
54188260197968,3,-96.548,89.741,162.5,54,285,53.5,162,80,55,16+,15,54
54188260252240,1,-96.548,279.736,162.5,243,285,243.5,122,80,55,17 Pro Max,15,243
54188260252240,2,-96.548,184.741,162.5,148,285,148.5,122,80,55,17 Pro Max,15,148
54188260252240,3,-96.548,89.741,162.5,54,285,53.5,122,80,55,17 Pro Max,15,54
54188260230736,1,-96.548,279.736,162.5,243,285,243.5,150,80,50,16 Pro,15,243
54188260230736,2,-96.548,184.741,162.5,148,285,148.5,150,80,50,16 Pro,15,148
54188260230736,3,-96.548,89.741,162.5,54,285,53.5,150,80,50,16 Pro,15,54
54188260238928,1,-96.548,279.736,162.5,243,285,243.5,162,80,55,15+,15,243
54188260238928,2,-96.548,184.741,162.5,148,285,148.5,162,80,55,15+,15,148
54188260238928,3,-96.548,89.741,162.5,54,285,53.5,162,80,55,15+,15,54
54188260206160,1,-96.548,279.736,162.5,243,285,243.5,150,80,50,15 Pro,15,243
54188260206160,2,-96.548,184.741,162.5,148,285,148.5,150,80,50,15 Pro,15,148
54188260206160,3,-96.548,89.741,162.5,54,285,53.5,150,80,50,15 Pro,15,54
54188260211280,1,-96.548,279.736,162.5,243,285,243.5,132,80,50,17 Air,15,243
54188260211280,2,-96.548,184.741,162.5,148,285,148.5,132,80,50,17 Air,15,148
54188260211280,3,-96.548,89.741,162.5,54,285,53.5,132,80,50,17 Air,15,54
54188260260432,1,-96.548,279.736,162.5,243,285,243.5,162,80,55,16 Pro Max,15,243
54188260260432,2,-96.548,184.741,162.5,148,285,148.5,162,80,55,16 Pro Max,15,148
54188260260432,3,-96.548,89.741,162.5,54,285,53.5,162,80,55,16 Pro Max,15,54
54188260244048,1,-96.548,279.736,162.5,243,285,243.5,107,80,50,17 Pro,15,243
54188260244048,2,-96.548,184.741,162.5,148,285,148.5,107,80,50,17 Pro,15,148
54188260244048,3,-96.548,89.741,162.5,54,285,53.5,107,80,50,17 Pro,15,54
54188260247120,1,-96.548,279.736,162.5,243,285,243.5,150,80,50,15,15,243
54188260247120,2,-96.548,184.741,162.5,148,285,148.5,150,80,50,15,15,148
54188260247120,3,-96.548,89.741,162.5,54,285,53.5,150,80,50,15,15,54
54188260214352,1,-96.548,279.736,162.5,243,285,243.5,150,80,50,16,15,243
54188260214352,2,-96.548,184.741,162.5,148,285,148.5,150,80,50,16,15,148
54188260214352,3,-96.548,89.741,162.5,54,285,53.5,150,80,50,16,15,54
54188260227664,1,-96.548,279.736,162.5,243,285,243.5,150,80,50,17,15,243
54188260227664,2,-96.548,184.741,162.5,148,285,148.5,150,80,50,17,15,148
54188260227664,3,-96.548,89.741,162.5,54,285,53.5,150,80,50,17,15,54
54188260222544,1,-96.548,279.736,162.5,243,285,243.5,162,80,55,15 Pro Max,15,243
54188260222544,2,-96.548,184.741,162.5,148,285,148.5,162,80,55,15 Pro Max,15,148
54188260222544,3,-96.548,89.741,162.5,54,285,53.5,162,80,55,15 Pro Max,15,54
